Date,Ret,Vol5,Vol10,Vol100,Mom10,Mom20,Mom50,Mom100,VIX,VIXchg,CreditSpread,TermSpread,VIX_Regime,RSI14,Mom20_div_Vol20,Mom20_mul_Vol5,VolRatio,VIX_per_Ret,Mom10_lag1,VIXchg_lag1,VolRatio_lag1,Crash,Reg_0,Reg_1,Reg_2
2017-10-31,0.0015579091311646,0.0052013528389463,0.0040932758317773,0.0042913842911927,0.0065759336748416,0.0169658416608453,0.0639199362683591,0.0668681768364285,10.18000030517578,-0.0878135802540875,0.6699999999999999,0.7799999999999998,0,61.39057224839018,5.269812081991763,8.824532868775111e-05,0.618650770517686,6530.207631519036,0.0057188539984296,-0.0514904887568083,0.6191312083661868,0,True,False,False
2017-11-01,0.0013221293559482,0.0042336865843887,0.0040976579165065,0.0042910033134984,0.006921599640866,0.0171036684287606,0.0543016215777969,0.0684983120544067,10.199999809265137,-0.0917185908242769,0.6999999999999997,0.76,0,65.30631804424246,5.311142559888194,7.241157157067631e-05,0.760230266754636,7708.996677770381,0.0065759336748416,-0.0878135802540875,0.618650770517686,0,True,False,False
2017-11-02,0.0003882573425495,0.0042758716595921,0.0040965046189234,0.004269866065351,0.0070366307932761,0.0115051515391246,0.0585063249706854,0.0637116506614576,9.93000030517578,-0.1212389258791674,0.6999999999999997,0.74,0,64.50565901729584,3.8464260381388806,4.919455140545531e-05,0.6991389866956818,25510.11688087304,0.006921599640866,-0.0917185908242769,0.760230266754636,0,True,False,False
2017-11-03,0.0033388843898953,0.0026310298037259,0.0039130011010954,0.0042740664630573,0.005211991296256,0.0160396241902209,0.064521319640495,0.068618082403481,9.140000343322754,-0.0673469218945616,0.6999999999999997,0.71,0,66.42449632464823,5.305161379984443,4.220072928503409e-05,1.1483152124148033,2736.6217737881875,0.0070366307932761,-0.1212389258791674,0.6991389866956818,0,True,False,False
2017-11-06,0.0015473942124808,0.0010687623266237,0.0035961382815113,0.004266852003717,0.0106981072579466,0.0192947710066311,0.0636839506242963,0.0723348807698893,9.399999618530272,-0.1047619410923549,0.6999999999999997,0.7099999999999997,0,67.17492140434771,6.494299173216135,2.0621524352718568e-05,2.776347586069779,6070.80518821484,0.005211991296256,-0.0673469218945616,1.1483152124148033,0,True,False,False
2017-11-07,-0.0006950045910887,0.0014965342604461,0.0036275943594409,0.0042688869289793,0.0082245126345061,0.0159060708643217,0.0629010652806463,0.0713557866391825,9.890000343322754,-0.0284872252612392,0.6999999999999997,0.69,0,65.09811321514542,5.36383825069054,2.380397999754093e-05,1.9795386960201016,14209.67687562618,0.0106981072579466,-0.1047619410923549,2.776347586069779,0,True,False,False
2017-11-08,0.0017007793312628,0.0015149705308153,0.0030078797994471,0.0042001867425126,0.0149631513371459,0.016037767040915,0.0634912136117833,0.0643172487751078,9.779999732971191,-0.0411764788380132,0.6999999999999997,0.6699999999999999,0,66.37130318264269,5.404724584060377,2.429674444706712e-05,1.9567403106644627,5746.925910607913,0.0082245126345061,-0.0284872252612392,1.9795386960201016,0,True,False,False
2017-11-09,-0.0036275078442965,0.0026949693611843,0.0034182363768891,0.0041562335878536,0.0099757588465203,0.0138627575938026,0.0546370697079749,0.0676567780572348,10.5,0.0574017801920025,0.6999999999999997,0.7000000000000002,1,55.43104395221879,4.4860772423984505,3.7359706976823e-05,1.1458489379934091,2893.7514952612023,0.0149631513371459,-0.0411764788380132,1.9567403106644627,0,True,False,False
2017-11-10,-0.0003102026141748,0.0021588051295861,0.0023130407597696,0.0041563783582531,0.0014743998764752,0.0123159633394607,0.048005285626675,0.0675892244846616,11.289999961853027,0.2352297087276327,0.6999999999999997,0.73,1,61.19906929165193,3.9787816034778754,2.6587764833022112e-05,1.4327268259710104,36278.61543448194,0.0099757588465203,0.0574017801920025,1.1458489379934091,0,True,False,False
2017-11-13,0.0009300932463165,0.0020429341232571,0.0018731616589175,0.0041549298154713,0.0061539093088267,0.0119079566161131,0.0474985516512787,0.0690660742690738,11.5,0.2234043049672027,0.6999999999999997,0.7,1,60.25548842405577,3.851459760388484,2.43271709093226e-05,1.5121835021893302,12351.072296459217,0.0014743998764752,0.2352297087276327,1.4327268259710104,0,True,False,False
2017-11-14,-0.0023225708066393,0.0022233182560304,0.0020498011780767,0.0041653751803181,0.0022556224261411,0.0088463889244527,0.0526257849063829,0.0653111363457816,11.59000015258789,0.171890773533986,0.6999999999999997,0.7,1,65.32685320721035,2.799834931954305,1.9668337995680827e-05,1.4200354987211103,4988.012467479355,0.0061539093088267,0.2234043049672027,1.5121835021893302,0,True,False,False
2017-11-15,-0.0050053699356009,0.0024084966248395,0.0025818313024524,0.0042034743802596,-0.0040777757430688,0.0028155991666782,0.0437936070962998,0.0592817202628055,13.130000114440918,0.3425358356785954,0.6999999999999997,0.6500000000000001,1,54.59609119710668,0.8325214522766785,6.781361089845354e-06,1.403203439603039,2622.6587893699,0.0022556224261411,0.171890773533986,1.4200354987211103,0,True,False,False
2017-11-16,0.0085009700359486,0.0050752571765563,0.0038312548587128,0.0041857226626924,0.0039987193687691,0.0110634876738893,0.0527946605858078,0.0769628439977179,11.760000228881836,0.1200000217982701,0.6999999999999997,0.6500000000000001,1,55.04982125282154,2.8628886668764864,5.6150045214648834e-05,0.7610822334544798,1383.2088538488626,-0.0040777757430688,0.3425358356785954,1.403203439603039,0,True,False,False
2017-11-17,-0.0029386245366497,0.0052932865450761,0.0038114947867021,0.0041187687382805,-0.0022829178937093,0.0029171748543546,0.0509355704802907,0.0642722997496547,11.43000030517578,0.0124003847471914,0.6999999999999997,0.6200000000000001,1,56.29964098245895,0.7717114293559804,1.5441442406189536e-05,0.71381419821718,3888.251769119668,0.0039987193687691,0.1200000217982701,0.7610822334544798,0,True,False,False
2017-11-20,0.0017065912118694,0.0053446661807089,0.0038200291997354,0.0040085379880797,-0.0021243297264117,0.0085510512242705,0.0416191386164945,0.0755415165701516,10.649999618530272,-0.0739130766495413,0.6999999999999997,0.6000000000000001,1,56.49749639947337,2.3295211241427967,4.570251428786798e-05,0.686487590838201,6236.855486548853,-0.0022829178937093,0.0124003847471914,0.71381419821718,0,True,False,False
2017-11-21,0.006542549515963,0.0058344580900238,0.0043639993028549,0.0040489279976225,0.00510287236794,0.0133693536407086,0.0449121498089222,0.0805633110188075,9.729999542236328,-0.160483225700066,0.6999999999999997,0.5899999999999999,0,62.25506012893416,3.41937019139867,7.800293350742143e-05,0.6698510544613572,1486.9604819983372,-0.0021243297264117,-0.0739130766495413,0.686487590838201,0,True,False,False
2017-11-22,-0.0008848170733409,0.004847230127189,0.0043627094613128,0.0040512766798034,0.0025084944592133,0.0175091807785809,0.0434868072408949,0.0777797078354662,9.880000114440918,-0.2475247503178248,0.6999999999999997,0.5799999999999998,0,60.50337370752542,4.729156276065222,8.487102857233588e-05,0.7634517908964571,11153.544463958053,0.00510287236794,-0.160483225700066,0.6698510544613572,0,True,False,False
2017-11-24,0.0023098519449158,0.0035846097952761,0.004174973205847,0.0040512686112992,0.0084824185390199,0.018542795947321,0.0462315856946278,0.0777774678370979,9.670000076293944,-0.1777210979515951,0.6999999999999997,0.5899999999999999,0,59.48336906364911,4.9907941730954,6.646868798457282e-05,1.0359185932465869,4184.603906610852,0.0025084944592133,-0.2475247503178248,0.7634517908964571,0,True,False,False
2017-11-27,-0.0004991840643351,0.0029685356571177,0.0041812457428415,0.0039282025625445,0.0082917749309576,0.0097784001993668,0.0443036236846243,0.0871812803257674,9.869999885559082,-0.1364829727003851,0.6999999999999997,0.5799999999999998,0,57.04105868436915,2.9556396026672096,2.9027529661387173e-05,1.1137725125316145,19732.735585407696,0.0084824185390199,-0.1777210979515951,1.0359185932465869,0,True,False,False
